MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,41.7950000,10.5456276,10.3027220,-0.1540159
MsgID.LOCAL_VELOCITY,41.7950000,0.0000189,0.0003357,-0.0000329
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973387,37.7925740,0.1480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.0450000,10.3926830,10.1797075,-0.1482560
MsgID.LOCAL_VELOCITY,42.0450000,-0.0000614,0.0001259,0.0000268
MsgID.GLOBAL_POSITION,0.0000000,-122.3973384,37.7925751,0.1360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.2950000,10.5195961,10.2117262,-0.1368594
MsgID.LOCAL_VELOCITY,42.2950000,-0.0000508,0.0000564,0.0000182
MsgID.GLOBAL_POSITION,0.0000000,-122.3973383,37.7925758,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.5450000,10.5985575,10.2216387,-0.1207828
MsgID.LOCAL_VELOCITY,42.5450000,0.0001122,0.0004348,0.0000297
MsgID.GLOBAL_POSITION,0.0000000,-122.3973388,37.7925752,0.1060000
